TILE_ID,NUMBER,ra,dec,CLASS_STAR,uJAVA,J0378,J0395,J0410,J0430,gSDSS,J0515,rSDSS,J0660,iSDSS,J0861,zSDSS,parallax,e_parallax,teff_pre,logg_pre,feh_pre,e_teff_pre,e_logg_pre,e_feh_pre
86013,5611,142.9564851,30.5098054,0.918,15.3393908,15.2066174,14.9387264,14.233202,14.1019974,13.6472721,13.4804306,13.1162357,13.058197,12.9805603,12.96733,12.9514751,2.0766,0.0202,5476.451,4.349793,0.1978226,108.34198,0.07549544,0.10333698
86013,5619,142.1795429,30.51018614,0.941,16.7337685,16.4753494,16.4181671,15.8106041,15.7216024,15.3772202,15.224824,14.9506807,14.9307575,14.8489227,14.8337364,14.8412771,0.6831,0.0383,5577.515,4.2360296,-0.297397,152.70082,0.16716793,0.1203558
86013,5624,142.8344494,30.51034487,0.972,15.9700737,15.7937489,15.7197933,15.1677999,15.1255665,14.7533436,14.6201973,14.3325291,14.3048773,14.2211685,14.2134905,14.1948271,0.9748,0.0343,5752.298,4.31359,-0.3120575,167.59218,0.12606043,0.113641985
86013,5645,141.8854673,30.50518878,0.946,15.3035011,15.0146198,14.9716454,14.4567881,14.3932228,14.1278954,13.9995108,13.8047705,13.7820158,13.7311668,13.7517071,13.7434864,1.2445,0.0216,5976.152,4.2223487,-0.29905465,161.61139,0.13920969,0.14306246
86013,5663,142.2159325,30.50517847,0.92,16.6667118,16.4165249,16.4923439,15.9004478,15.8661747,15.5597858,15.430213,15.1599407,15.1320553,15.0287476,14.9935246,15.0116596,1.0079,0.0408,5371.828,3.928798,-1.0257127,430.64505,0.49198848,0.42746398
86013,5681,142.7311506,30.50439341,0.94,17.4575672,17.0937653,17.1336937,16.5969315,16.5455399,16.2949848,16.1795998,16.0009823,15.9923687,15.9132195,15.9593658,15.9227571,0.2309,0.051,5131.899,2.7252796,-1.2735587,213.43259,0.5054155,0.44496092
86013,5707,142.7409786,30.50199762,0.969,17.4142685,17.1892319,17.100708,16.781929,16.6945038,16.4611015,16.3449478,16.1559753,16.143589,16.0725384,16.0286598,16.090023,0.4755,0.058,4953.137,2.8106947,-1.7042407,148.09258,0.38539734,0.28370523
86013,5755,142.7994124,30.49601909,0.997,16.6070709,16.4470329,16.3113213,15.6610689,15.5535259,15.1596594,15.0109644,14.656024,14.5929413,14.5035782,14.4794903,14.4745159,0.9742,0.028,5547.333,4.297,-0.090840116,127.550064,0.16565888,0.11016103
86013,5758,143.1843938,30.4945917,0.856,17.3990059,17.2679901,17.0431938,16.3442116,16.2212982,15.7240181,15.5619307,15.1364336,15.070261,14.9502754,14.9432106,14.9135647,1.1776,0.0376,5255.1606,4.2543755,-0.10169781,144.40117,0.25310698,0.11667117
86013,5762,141.8963682,30.49128021,0.958,14.8449049,14.6387691,14.5418587,13.8837547,13.799221,13.4079027,13.2600384,12.9539471,12.9104614,12.8365908,12.8226099,12.8158007,2.4652,0.026,5717.115,4.402434,-0.009863071,90.53358,0.060876448,0.093246765
86013,5798,142.4094994,30.49004911,0.953,17.5169449,17.3257751,17.288166,16.7303925,16.6661186,16.3307266,16.175251,15.9012957,15.8722897,15.7865915,15.7545586,15.7534275,0.6997,0.0524,5245.13,4.2491217,-0.48738042,305.65686,0.39845288,0.24480624
86013,5887,142.337876,30.47876454,0.951,17.3861198,17.2253914,17.1616955,16.4892616,16.4413605,16.0349426,15.86656,15.5466719,15.5005054,15.3853855,15.3808632,15.371994,0.5712,0.0422,5222.1606,3.8979359,-0.37180632,243.82777,0.3711915,0.13860476
86013,5934,141.9339843,30.46883354,0.81,16.9639435,16.769249,16.695446,16.0266533,15.9650011,15.5563622,15.4069176,15.0752907,15.0217381,14.9281797,14.8941364,14.8712177,0.8886,0.0445,5544.0737,4.2900224,-0.18194364,127.758766,0.19909045,0.1265084
86013,5943,141.9250878,30.46656608,0.87,17.6535721,17.2889404,17.381916,16.8385429,16.8041553,16.4488487,16.2932892,16.0599155,16.0382729,15.9371538,15.9689569,15.9615154,0.473,0.0695,5077.0835,3.1718736,-1.4463441,170.65894,0.31059098,0.4209434
86013,5959,142.1083314,30.46680989,0.898,17.5839996,17.3634129,17.3460464,16.6941872,16.6484451,16.2830105,16.1049175,15.8174677,15.7756233,15.6941395,15.6553946,15.6605968,0.5939,0.0655,5398.1934,3.9477901,-0.3197828,250.92227,0.41141906,0.13943124
86013,5969,142.7612594,30.46546341,0.858,16.707962,16.5560627,16.3007317,15.6848011,15.6115866,15.1659937,15.0174303,14.672905,14.6384535,14.5579548,14.5539293,14.5413799,1.0943,0.0303,5665.491,4.297739,0.15993772,118.9546,0.17184266,0.101121195
86013,5981,143.2674408,30.46272831,0.806,16.9513474,16.8525429,16.599659,15.7289171,15.569521,14.9639091,14.8232374,14.2211962,14.1125154,13.9704723,13.9085646,13.8851357,2.4911,0.0272,4904.966,4.3318105,-0.08171316,118.316895,0.18478398,0.105195016
